layer,strip,end,multiplier,mpv,eta,sigma,A
1,0,0,17,419.2380274267951,44.31393687140049,86.20792346622842,1427.8599249624046
1,1,0,14,434.6937616928113,48.72487627175747,83.66972464096199,2539.413286062476
1,2,0,16,404.510611842768,43.8630738687322,75.117016324601,6181.196114585096
1,3,0,15,377.6156616578263,46.833563519610905,55.81650083045134,8406.889916290937
1,4,0,10,460.4811947617093,52.60406583909438,90.45868859002398,4504.040396612416
1,5,0,12,447.5248366438341,46.37992521145974,96.61243016371496,2191.988803222552
1,6,0,12,531.4491739265193,67.06472901643552,124.02551218757174,744.651223682242
1,7,0,9,495.205461465305,61.263343503698735,101.50629694356778,536.0012493006167
2,0,0,17,455.2566824636127,51.692339998288496,95.36630292659504,1322.9536377744396
2,1,0,17,514.7485245468326,68.30224985976177,99.2193083432949,1761.478938720791
2,2,0,15,487.7556437669824,59.71874485677245,89.91896927063813,4749.073040518085
2,3,0,12,457.4893535896785,60.81056288982931,81.75280844595302,6056.364621034206
2,4,0,14,468.2556764689923,60.0639461444272,87.17579418181107,4427.49462362777
2,5,0,15,459.7234379951804,59.93308754262271,90.58097631224472,2366.464045994553
2,6,0,13,554.0799152655248,73.43011188130122,145.52021864291305,693.4121681844923
2,7,0,10,646.1004785117772,65.63727694883875,195.86651935683275,416.83230421710726
3,0,0,12,722.7008846727166,53.91859673979925,152.36879588443273,963.7691955081932
3,1,0,12,699.2194590930712,57.96245283565519,150.24143962308796,1796.0820509107584
3,2,0,8,576.43977863173,56.58356193364484,151.44714277908506,3911.4259848834126
3,3,0,10,622.1234232190045,56.0889949682358,140.83774967822572,4852.955653653872
3,4,0,12,684.279820729314,55.93102666466062,147.87605879749896,3318.4494020756542
3,5,0,14,674.315025308363,56.38857369372607,172.94810636434192,1515.1232320536371
3,6,0,16,623.0558078896989,53.09194288328763,149.43201634628127,734.6338225579545
3,7,0,8,733.6516566023365,56.88351345149139,186.9989308015488,385.0737970670176
4,0,0,12,715.7908158944514,53.83684404914005,178.98773879677032,909.5707747201895
4,1,0,12,542.6677381933858,61.48889166270183,161.3877371214921,1388.7009133999038
4,2,0,10,684.5567078746859,55.141186384484605,161.0026522297722,3533.535136377752
4,3,0,8,641.7007728879942,55.657200389590415,152.55973954133933,4556.946049308351
4,4,0,8,911.3006582103652,60.734642000334254,184.92830950815227,2930.355621002421
4,5,0,10,725.9231706536866,57.83672394553578,157.0433149020974,1852.4118106273809
4,6,0,11,719.862991318064,55.51541987535169,188.35667225631107,675.4037292245822
4,7,0,12,688.5880806758681,54.53905269043111,173.0586040141388,485.4425596758682
5,0,0,22,685.508942615841,54.89526490371248,122.55545738538486,1094.8464931255835
5,1,0,18,742.0144251382901,57.36855338313545,132.484672314737,1949.0248073222635
5,2,0,20,743.1450486385613,61.64633854473233,122.69723325774268,4132.065267619632
5,3,0,22,770.1757282357455,63.43663202133185,122.55110950759077,4970.609834320975
5,4,0,15,636.450364033647,58.99149201116728,112.37264527344136,3948.1721035332807
5,5,0,21,716.8896372681796,63.411040413802674,130.129001299964,1720.3428188948983
5,6,0,20,708.9370147059319,60.34568134094859,136.43104398989976,777.1762068158529
5,7,0,30,673.0492335392623,82.1088776564729,94.70594211085184,489.3730077729564
6,0,0,10,721.5124440315041,57.49142898990491,159.1564910655849,975.2080195602512
6,1,0,21,737.9701179135274,63.16032593686872,142.05724564100612,1508.0016439097424
6,2,0,21,611.7591332457037,76.9932775230904,51.8816872843986,4718.9551260617145
6,3,0,19,827.6941556217272,64.13261099701367,134.8755581577757,4646.294341578559
6,4,0,19,640.0658871122032,70.63981108659779,72.99894988155589,4512.416378715536
6,5,0,19,665.6827411626988,60.423583716830805,126.4800741972145,2146.543502396507
6,6,0,19,684.0346748245632,60.034075183522646,150.98943366848815,787.7909344869569
6,7,0,19,665.1397023379317,52.42778210922349,147.68285612703872,553.2004733741271
7,0,0,11,557.9750006583389,55.895839782561175,136.22661508731386,1034.1087092443906
7,1,0,8,462.84387999844745,82.02219844374747,74.43176716723812,2124.3912907692825
7,2,0,15,605.6097746708978,58.28817112886748,113.77860051198782,4385.825294173484
7,3,0,10,556.7715609394503,56.641576004283415,114.13723285933246,5474.452839284666
7,4,0,10,518.6449866179448,60.988481611363646,112.77869482585108,3933.0598948121615
7,5,0,8,545.6375145453476,58.91424094604045,134.96342056132323,1815.5313817407111
7,6,0,8,593.6909555609222,56.129133431680174,118.16424109687811,902.1518808857364
7,7,0,14,484.9760251823213,66.51792286707953,118.83302651971576,537.5994055388959
8,0,0,16,606.7877439558855,57.30650313277771,123.68667155462992,1122.5833837011658
8,1,0,10,594.1884504710871,62.87368598946158,131.3722975985629,1589.6107553524157
8,2,0,12,702.0542451410806,62.9831476998456,118.3779132442206,3977.45185339838
8,3,0,12,628.5422198889823,65.22264210052012,129.0208281123039,4734.178134239936
8,4,0,8,518.4498400359979,69.42009175698682,109.09320052063148,3834.228336201807
8,5,0,8,584.4446565116052,62.57374078189681,137.41771479323435,2021.9118473918195
8,6,0,10,719.5753330739742,63.05398380505991,133.8879386236091,808.2826113495895
8,7,0,10,691.946219401072,60.24907794009249,116.91106177515574,576.324344481567
9,0,0,10,577.8977701264286,69.40080411973898,59.47315581687975,1375.76545374502
9,1,0,10,606.7705222863316,55.61604723406396,111.75211659559788,2082.8495062145525
9,2,0,10,601.9590079175318,58.23803528956146,99.8875517332742,4548.454348055431
9,3,0,12,621.332725969166,57.85944140300886,97.1400426932814,5720.440666393798
9,4,0,16,590.8365822102171,59.44298750099978,91.49780959590449,4248.872219820691
9,5,0,15,595.1708275999877,62.85110098866266,106.516462476391,1997.7448404587044
9,6,0,14,663.3340469622977,62.91066378339671,125.07351973151998,820.6965126493775
9,7,0,16,596.1846232635373,57.08813324017112,120.360291139165,567.5354845677049
10,0,0,8,603.4511676066676,50.813189313602365,171.9129280442187,210.67795592627385
10,1,0,14,641.6751925185769,59.71896310199214,118.7868102505416,672.4511283657558
10,2,0,10,594.8425925111427,53.9593277012884,96.74012360418068,1375.8645928454516
10,3,0,10,597.269444369089,63.30997336186243,112.1757617252876,1721.2452639541832
10,4,0,12,603.251142717042,60.73222666344016,93.69934939342777,4567.860691950993
10,5,0,10,589.2367457625811,54.42028733481145,95.53671632747816,5815.26841407684
10,6,0,10,568.1087360623004,55.37823203639736,102.15329594608576,4246.359145677082
10,7,0,12,646.7461792343422,63.97916854645545,101.5546807168023,2283.963111173492
10,8,0,12,634.5121984984081,62.20361658590205,93.02847925120354,996.0762828271936
10,9,0,14,582.8481925203912,52.93936819194855,132.04513567814945,572.2659716967844
10,10,0,10,626.8592465156463,49.28088406830972,148.8492795643154,377.2815941863521
10,11,0,14,664.6666127018733,54.7672441679752,127.5534073698036,209.73079368788893
11,0,0,12,580.4071860977015,45.12610384080318,156.08567919514195,289.51734527148835
11,1,0,10,645.2036525914489,51.16806494764614,139.90046365389978,672.3042954377836
11,2,0,16,703.3364644851168,58.60030524092916,112.81993638498597,1107.049729050275
11,3,0,10,685.7160939021771,60.88041820142378,110.96023715378578,2152.162288714348
11,4,0,10,609.7842816336675,57.137561647172745,118.09049977768342,4334.388501899486
11,5,0,10,569.1468929541335,51.80029872219213,103.86253024708518,5695.352877195288
11,6,0,10,523.6473563461262,52.46394789409012,110.79878131260864,3933.305838823507
11,7,0,10,636.9824516604295,59.83961348143379,87.64685157130296,2059.8909161467463
11,8,0,10,609.9518424038073,82.54536514640176,15.88004378845017,909.5993142200152
11,9,0,10,537.7308915271899,68.53712782901569,46.15303085553463,681.9198974685162
11,10,0,14,622.5318693886742,54.45807412413904,110.02722078697757,350.63372422871544
11,11,0,10,659.6866890890622,48.46792783296145,140.9829127316835,197.0224301007216
1,0,1,8,423.727290022551,47.61248118425343,92.34595882875652,1334.0291587285913
1,1,1,16,512.6112894670962,79.4597189576134,49.32213750359234,2154.158697093849
1,2,1,16,481.6483707168677,56.98846570166118,90.74087331276628,4966.60419926047
1,3,1,8,479.843420528494,61.035289241929455,92.9359179996818,5918.839307164934
1,4,1,12,439.7237934825112,49.21555060395688,86.39541168991762,4827.244689066997
1,5,1,12,454.1579748921808,49.55770117524092,100.46494365592288,2093.878300810852
1,6,1,8,507.04882198843046,65.62293423035462,123.78011296517114,770.693496634674
1,7,1,9,445.7037444033061,51.77949550991711,112.63522492535044,544.9365640650782
2,0,1,19,550.69502653772,73.71655148632492,119.29279330702742,1018.0817644598864
2,1,1,17,436.9375866084511,54.801796257795175,88.07049818836073,1987.955566192376
2,2,1,15,469.677906991448,57.20971260761146,86.70468070102567,4905.969954531285
2,3,1,10,470.9311429605997,62.60890769579719,84.26934943344007,5901.2710196240605
2,4,1,17,424.1664047501177,45.081822512841136,76.74771636421688,5453.46009534315
2,5,1,20,418.3297948269458,52.67015721671549,75.35442084721483,2728.1573172210583
2,6,1,13,450.7110698091221,59.71896432154066,104.3732621113005,874.752826182287
2,7,1,10,591.9094804217616,70.85734955359675,175.46023259184054,439.7719944645159
3,0,1,14,640.5672423342345,50.47323048416602,142.29496421624847,1023.3156475119972
3,1,1,10,529.2454745615939,49.80029013265238,118.26028004791306,2218.598974430955
3,2,1,8,674.681360703997,54.31165267827773,142.3462652710021,4066.762648916824
3,3,1,12,610.6647159688495,54.52837070007574,118.23555878500434,5368.115591494943
3,4,1,10,684.646720028646,54.99049958132583,155.96108514023868,3241.2135039669342
3,5,1,12,645.3709027294369,53.714718716226486,161.36709072232136,1535.8472185026535
3,6,1,16,692.8194091869046,54.477464672447006,165.35546354626422,694.279624549686
3,7,1,8,556.1904062371442,54.16769948398878,178.1487089229765,415.36210995592864
4,0,1,8,638.7842000900731,53.35156958632798,174.73424540675535,911.3607301005708
4,1,1,8,628.7563013550375,56.07437819025063,182.739489769003,1307.5374853269393
4,2,1,10,544.0106604695591,51.03520487081711,144.84163916980555,3871.777451992953
4,3,1,10,610.2573134998527,56.22550347147871,151.93416126347205,4583.161103511066
4,4,1,10,636.235473654432,58.08483824308275,160.50234569577728,3338.9223454687094
4,5,1,10,722.9277548922373,60.14863452949017,157.6400973456795,1831.7253574154845
4,6,1,11,656.0160745739822,54.965657995356864,188.2298677604738,679.6776654916744
4,7,1,12,671.6806273181122,58.34502274103959,164.66832347041654,480.0465979338838
5,0,1,22,718.0383191170117,54.51170846074351,133.51496124256388,1050.0446243762246
5,1,1,22,693.5146621998676,59.01759848135544,111.77385551734908,2091.638859040936
5,2,1,22,675.75421777235,59.69899382179237,103.5656116787997,4578.963384017552
5,3,1,22,689.2524178582703,60.597910833820926,101.60876753707996,5571.999581434295
5,4,1,17,729.9376660944845,64.73290611784553,124.72421767041432,3536.570141273939
5,5,1,21,676.9557721674945,64.10013731813488,113.56684867296704,1840.354745455404
5,6,1,20,786.9390705078446,61.14473724399687,155.44954451628897,712.9280407063059
5,7,1,25,719.8707047247736,61.96150503362911,136.564235950014,485.5970544097749
6,0,1,15,628.2775905887044,58.27510375533952,109.9631511027706,1212.1763794302146
6,1,1,21,638.3630167752272,57.9338978731338,100.59851234090767,1867.4874681231724
6,2,1,17,688.7970147066868,60.446784857689885,106.67373235524428,4366.07637676149
6,3,1,19,680.341558116362,63.57881555049755,99.2041602375188,5506.958238866975
6,4,1,19,689.9909375991249,60.11039986525535,116.33959047395146,3987.3786867498206
6,5,1,19,660.1325457588688,61.71199007046551,103.68759861461064,2328.7911081284924
6,6,1,21,586.3899953046065,54.69369216666588,97.44989754827957,1011.9147363213756
6,7,1,18,624.8555224777151,53.49536309832367,95.16584783585486,688.5872061950728
7,0,1,11,704.6282379686505,59.41306033638198,116.8036291953512,1072.6959700840391
7,1,1,8,590.3541057038906,58.692053754087134,137.22527898270403,1930.1085351182933
7,2,1,15,618.9215695102315,55.52175374176497,108.36449998076571,4556.783541570945
7,3,1,12,686.5846479467618,61.22281978449819,117.594082729871,5112.779812151958
7,4,1,10,471.666895424223,69.03152152578271,80.4942884999275,4334.072149844789
7,5,1,16,502.5689670828441,68.11700673095642,97.06191365750848,1978.34665074004
7,6,1,6,603.4197369551833,79.24581765660015,97.37985992342972,878.4637787742118
7,7,1,12,523.5252913227255,55.171437917446525,139.25285650296323,529.2561485182372
8,0,1,14,622.0347960825388,59.30393715068952,140.4180540643448,1053.4560581036933
8,1,1,10,489.13861407317,68.41650149993137,100.10604769382952,1752.149933531388
8,2,1,12,596.0760683035415,59.497614194919656,111.39286798954284,4276.89430569408
8,3,1,16,665.468289999547,62.36989935043302,117.73783488810064,4989.223651582556
8,4,1,10,645.9142243745993,59.56468717358264,121.9331704444489,3802.358835455775
8,5,1,16,656.7261679413588,59.75999140765254,126.7348773359284,2102.6691129746937
8,6,1,15,682.4530371546986,63.22330268906981,148.47816152791395,778.8508962218157
8,7,1,12,584.9290021364332,58.60173421460311,145.7805401690433,533.2074449013667
9,0,1,16,645.5893859934929,61.7249145513392,106.7609909904674,1082.4027861108125
9,1,1,10,627.8791413785123,56.36626200576217,111.73728031083496,2075.2115861028974
9,2,1,10,563.2047879093025,55.35116861926404,97.69413857438204,4729.598170683693
9,3,1,12,567.3327850307988,58.87369179367957,92.66322361744402,5811.3084967144205
9,4,1,14,583.7993716149734,73.82903157692324,75.56983859952764,4141.477257872283
9,5,1,17,527.7285557305424,59.91799236420647,89.97541803931193,2202.767249487105
9,6,1,16,608.149290086015,59.05908127018941,111.39399316367935,901.78340576888
9,7,1,14,555.0713209924094,72.4823022641604,68.67994396760348,612.9772755251562
10,0,1,12,664.990159023615,56.90021010764825,150.3934777247705,233.6158817210209
10,1,1,12,606.6943400131718,57.193028717338606,114.38794238298615,702.5628585022042
10,2,1,10,632.2299283805005,55.547084503848446,118.56181718912174,1159.5834751756956
10,3,1,12,691.0992624138166,68.05565233766086,122.00785055617963,1589.1352049105078
10,4,1,14,633.7275249829463,60.918375552979576,96.99035286172962,4430.741932528455
10,5,1,20,573.9376884274914,56.952442099863056,87.85912990311583,5919.231702748328
10,6,1,10,580.4699907170731,59.7628617715132,98.15013116040804,4160.531111262078
10,7,1,8,601.9761934874404,57.82801095663867,108.31354477961088,2296.913203970153
10,8,1,10,541.3842554221478,47.1732457833466,122.29615357297348,965.811377991348
10,9,1,14,575.8211663653336,70.66564491464719,63.40167546139455,662.5330564866929
10,10,1,10,652.4509304221913,48.87513288886048,132.5827228797741,405.4769648164196
10,11,1,12,625.7461842949858,53.22274920662206,143.4146043853733,198.4467794296909
11,0,1,10,658.0954249947478,53.38057203001042,155.0872670797459,267.72298882749624
11,1,1,10,688.2050774289847,55.94054169168016,120.66035150635516,705.5985300238649
11,2,1,14,628.916073728373,48.67588126675052,126.66059254777302,1128.4818964025978
11,3,1,10,649.2409299546247,57.12794763100874,106.65751427559567,2253.9855036382232
11,4,1,10,621.0154196431849,54.10296526002092,84.33575729918914,5277.779207774689
11,5,1,8,647.8061277753843,57.28620434140512,92.3726925824582,5794.035229476561
11,6,1,8,629.1358851748653,57.108494297032514,86.7430234440838,4239.710379755053
11,7,1,10,577.8308253803187,54.71157913418247,78.19292247870342,2310.940113887415
11,8,1,10,659.4718807514946,60.79794768304375,111.4142035292067,839.1695305179508
11,9,1,16,667.7447060419639,56.7188051777125,114.54159180530206,542.5602072719981
11,10,1,18,678.5974641252116,54.821034457837975,126.00059577572408,328.87049567132493
11,11,1,10,700.0597554757951,48.09448967990103,145.06762807239045,193.5237899644627
