layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample
1,0,0,760,-1.0273742604460079,9.674627406843134,95
1,0,1,840,-7.573053056254267,11.046367796459077,105
1,1,0,760,-2.8026813028612563,14.564193596544065,95
1,1,1,760,13.318374335405965,18.8560474564577,95
1,2,0,728,8.016914935919004,10.38766981347635,91
1,2,1,824,3.8387639461348466,10.88832225539713,103
1,3,0,728,7.187037441459805,11.93845109832898,91
1,3,1,824,-3.6064790099490414,13.267025268627002,103
1,4,0,824,5.9473630017092605,12.376214624731329,103
1,4,1,760,0.16525319061342117,11.554757447313044,95
1,5,0,792,2.0031683093775685,11.602905751342352,99
1,5,1,744,-0.9736799176830798,10.948169319774031,93
1,6,0,824,-5.113461373679508,11.566822974013153,103
1,6,1,840,-0.7303652744454782,12.186270440075383,105
1,7,0,696,13.932308614232209,20.574734567437012,87
1,7,1,840,4.659423763752726,12.099228018552123,105
2,0,0,760,3.055436056062137,10.364760759566824,95
2,0,1,760,2.160188697959285,10.188697228564303,95
2,1,0,760,13.243007007857294,11.914896089593743,95
2,1,1,824,-5.2729087048832275,10.892468454584941,103
2,2,0,760,9.167106970708195,12.38546712384476,95
2,2,1,840,-2.518264293711153,12.897305826932657,105
2,3,0,856,-3.5248639474753594,13.94853388096267,107
2,3,1,856,3.0164556255926813,13.278626315040533,107
2,4,0,744,3.0263255200214605,11.282990513782622,93
2,4,1,760,-0.6674787021932209,10.42369638190956,95
2,5,0,760,3.069939744421933,11.508397908175002,95
2,5,1,760,-2.481938216243149,10.481787942739258,95
2,6,0,856,-0.8740976645435244,12.759742145554307,107
2,6,1,824,-8.658491279513324,10.630347642986367,103
2,7,0,856,-3.5085048375033177,14.056468493651288,107
2,7,1,824,5.601415008987056,12.78660107357395,103
3,0,0,728,-4.897509402526125,15.977147548920833,91
3,0,1,760,7.4952439868436365,16.15033941831168,95
3,1,0,728,-4.4476709529081155,15.517701297970774,91
3,1,1,728,2.6527147320639037,15.693899500993515,91
3,2,0,760,17.497142074298456,16.134845074822106,95
3,2,1,856,3.332549341980073,19.367728066457072,107
3,3,0,808,2.931178352979301,17.624854935137947,101
3,3,1,760,-4.93027438209347,17.99469143444419,95
3,4,0,744,-9.463713923452174,17.08559017269283,93
3,4,1,792,-8.598178848275566,17.4670508108896,99
3,5,0,840,-1.4209467951403436,16.85675663042256,105
3,5,1,824,6.120131804304118,16.96131254116624,103
3,6,0,792,-5.42396989335225,16.837996466056456,99
3,6,1,840,3.2253494874184527,19.168088316152563,105
3,7,0,792,-1.3395700071073204,17.80854018405837,99
3,7,1,760,2.1499635795121432,16.065322022997837,95
4,0,0,840,4.4602666533817406,19.713655796219864,105
4,0,1,760,-0.4960083628376402,17.05055903733921,95
4,1,0,824,-5.621928346027602,16.65409595576732,103
4,1,1,808,-5.059035610188823,17.732641958623088,101
4,2,0,856,-8.741966973680288,18.227905825802996,107
4,2,1,808,-5.575338076966062,16.200471727730083,101
4,3,0,808,-11.606496804270407,18.047362540923807,101
4,3,1,792,-11.089186044683427,18.26902141352199,99
4,4,0,808,-3.4568839993528555,18.7036658090916,101
4,4,1,760,-6.794954189155404,15.81588650115286,95
4,5,0,760,3.3401905287864144,17.981151870476946,95
4,5,1,760,-13.175153311730567,17.687530331706714,95
4,6,0,760,5.546368096217756,16.62276306055092,95
4,6,1,760,10.52615658038089,15.502025991108573,95
4,7,0,824,-3.307128270656938,17.012899049655516,103
4,7,1,744,-1.2316999647817963,15.34439178496661,93
5,0,0,824,3.405942463064106,11.100331897107003,103
5,0,1,760,19.238489563997206,11.796395155367057,95
5,1,0,696,8.221370779267803,11.9252605571091,87
5,1,1,856,1.4337026576870158,13.605744202556334,107
5,2,0,760,-14.45730063820559,12.697216943061088,95
5,2,1,808,-7.206800402757339,14.190680186152518,101
5,3,0,760,-5.133364537536985,11.080497263080009,95
5,3,1,808,-4.506657305483814,14.048467522426101,101
5,4,0,840,2.4727387490658987,12.04371305621094,105
5,4,1,744,-5.0684098642540505,10.634176326493618,93
5,5,0,840,-4.859942877769827,12.802000036273785,105
5,5,1,744,-7.2043140135778705,11.748057754895019,93
5,6,0,824,-2.434020682395195,12.90199929456993,103
5,6,1,760,1.608103924409605,11.3666629261888,95
5,7,0,728,-5.525103442392186,10.400475680091738,91
5,7,1,712,0.6900693488037636,10.89890048322731,89
6,0,0,872,-8.684842294239639,12.501946890538388,109
6,0,1,808,-10.894762907019933,12.136636716264867,101
6,1,0,728,4.512214916064388,12.003497846109628,91
6,1,1,760,7.952788410538894,11.646851139565396,95
6,2,0,824,-7.631235379302662,11.849240693981637,103
6,2,1,808,2.193709851100962,12.174341355646002,101
6,3,0,760,9.428594001832948,13.836636666531577,95
6,3,1,760,-10.205204983764053,12.716930629970582,95
6,4,0,760,9.306975378857373,12.442196654353461,95
6,4,1,840,4.843745642681539,14.27294952921387,105
6,5,0,824,-4.894204576637597,12.17263615121646,103
6,5,1,728,2.647524195815429,11.264827367387559,91
6,6,0,824,-8.803294945033551,12.539369219499319,103
6,6,1,872,-4.786927134348517,10.916595588282243,109
6,7,0,760,-11.682784374962171,10.687414401818273,95
6,7,1,760,8.141353556384061,9.764310131000041,95
7,0,0,792,-2.105381042763941,11.795029033528031,99
7,0,1,792,5.894305219706407,13.503403414337878,99
7,1,0,744,2.5817871532322223,13.85102900694018,93
7,1,1,728,-7.414336337724366,14.832384401883488,91
7,2,0,728,8.766329195381656,15.85923784793557,91
7,2,1,760,15.935106470627888,15.665089031404332,95
7,3,0,808,-2.7377162574096565,14.318139551935406,101
7,3,1,728,-6.374613576350873,16.099474395866974,91
7,4,0,808,5.3269835660010605,15.50099022431053,101
7,4,1,760,11.272049364565515,15.658234618564663,95
7,5,0,824,-1.8780265792827235,13.946074859579605,103
7,5,1,824,-7.96922970717074,14.310587398221358,103
7,6,0,1320,-3.1683125305922664,25.11726741574202,165
7,6,1,792,0.6585174073984468,12.80969737882175,99
7,7,0,728,4.215813755914524,11.112517194610055,91
7,7,1,824,8.72861087184812,11.228238916074321,103
8,0,0,824,-7.530724041799093,12.742216080549621,103
8,0,1,808,3.190321931221289,12.985422193574992,101
8,1,0,792,-2.4809901462973203,15.030429831477269,99
8,1,1,840,-3.1640962523862153,14.171242794993171,105
8,2,0,760,-4.68336313547618,15.33715514340741,95
8,2,1,824,7.050603966433404,15.045413179273384,103
8,3,0,760,5.176255432345072,15.036732993986858,95
8,3,1,744,-4.810281290801072,16.491865540677885,93
8,4,0,744,1.7286932227310694,14.546622794874251,93
8,4,1,840,-0.5794102394191708,16.361212806351812,105
8,5,0,760,1.5556782829207079,13.640898802212574,95
8,5,1,840,-1.2293893454143705,14.977896806730554,105
8,6,0,824,3.982058031527034,12.810781489387951,103
8,6,1,760,9.879460342428459,12.71039509346279,95
8,7,0,824,-4.537479455970273,11.870340349692238,103
8,7,1,760,-7.770110426526178,10.457722307266025,95
9,0,0,760,-15.005174818448516,12.15219823150587,95
9,0,1,760,-2.2890861699160325,14.636759737203539,95
9,1,0,760,-4.114121473511325,16.303367353699844,95
9,1,1,696,9.430249404946704,17.657819039384954,87
9,2,0,808,-6.746745662817409,17.655029232029328,101
9,2,1,808,-7.372112089968984,15.733923234488145,101
9,3,0,760,1.130132828246036,17.66437517342978,95
9,3,1,808,3.2430960684203285,14.543366971506146,101
9,4,0,808,0.2520653524532357,17.579401005377168,101
9,4,1,856,-3.064034321791987,12.110811913600172,107
9,5,0,872,-10.051134100109234,12.37702785189224,109
9,5,1,856,3.4731282288534198,13.51106022635568,107
9,6,0,808,-4.21516842977624,15.183716345426006,101
9,6,1,760,8.898056063375991,14.6940684098855,95
9,7,0,824,0.009031988291867028,14.394577069531596,103
9,7,1,760,35.60028196274747,16.684801036106837,95
10,0,0,760,-15.500408351679567,15.606452672848162,95
10,0,1,728,-8.183934711462777,14.4983473380165,91
10,1,0,728,-5.084667787852198,14.383898545643142,91
10,1,1,856,-0.640819410424207,15.11023948995598,107
10,2,0,760,29.968693009118542,16.218258926527355,95
10,2,1,728,2.633268985225269,14.176564238729492,91
10,3,0,840,-4.33576406282696,17.34071231130749,105
10,3,1,760,23.48227256291353,20.00521568895832,95
10,4,0,824,4.201977986211794,17.2506789640376,103
10,4,1,760,17.1807644226146,16.322468622793686,95
10,5,0,760,22.427244024930882,15.46428358952161,95
10,5,1,760,-9.966481817735682,13.378796133496273,95
10,6,0,760,-13.241551075055966,19.760255015721537,95
10,6,1,760,-3.4981436177867318,18.22214627238772,95
10,7,0,696,18.771328422865107,17.80104727751237,87
10,7,1,824,-6.40887692423321,16.988899212983416,103
10,8,0,760,3.017264558987243,12.252709912903502,95
10,8,1,744,-4.455233644291096,15.756795643649474,93
10,9,0,760,-8.062121835339283,10.839732105664515,95
10,9,1,760,-10.11083821662126,11.041846998628612,95
10,10,0,744,-2.414076928069482,10.683436247449096,93
10,10,1,728,8.412383542892208,11.314390020822275,91
10,11,0,760,8.007184720804782,10.604666067455364,95
10,11,1,760,-3.5893210168127503,10.122468684825217,95
11,0,0,840,6.1975774505718935,11.951656337678553,105
11,0,1,760,-4.35195612645903,11.03472033727025,95
11,1,0,760,-4.388226911285687,11.052872443150015,95
11,1,1,840,3.3650330808610005,10.642206826402562,105
11,2,0,808,0.1635351199973949,10.693888621769464,101
11,2,1,760,-1.756252442360297,11.241214347693095,95
11,3,0,840,-3.6202719326642927,15.037578121804309,105
11,3,1,808,-2.71599704884931,14.894453819418127,101
11,4,0,728,9.363522181850804,15.931515956949486,91
11,4,1,824,10.251317904811755,15.216582290534994,103
11,5,0,728,7.909897090385931,16.236436030476643,91
11,5,1,856,-2.213832317409315,17.571340429245662,107
11,6,0,760,-8.081083348480822,12.501983677756405,95
11,6,1,840,5.931158635057572,13.446291456301465,105
11,7,0,856,1.0682562295368774,14.6027749424903,107
11,7,1,808,-5.869408396469382,16.15092696240287,101
11,8,0,760,16.722637604526803,12.608256610715394,95
11,8,1,808,0.6529459965429175,12.213579143835716,101
11,9,0,824,-8.117910871080962,10.43785279135762,103
11,9,1,840,-1.9363318895986101,10.733370331166075,105
11,10,0,824,7.914749630045565,10.626576242737828,103
11,10,1,760,21.02952582047038,12.388978086742483,95
11,11,0,856,1.1590758960149186,10.959207365710583,107
11,11,1,760,17.601193747150088,12.185512586590635,95
12,0,0,760,-9.660348270908518,10.55596865395202,95
12,0,1,824,-3.830235505024847,11.962129463806455,103
12,1,0,760,25.3366059240449,12.82023085192137,95
12,1,1,760,-1.123274608434453,12.072528418990931,95
12,2,0,792,5.710004694749807,12.952078447230532,99
12,2,1,728,3.1403181455128557,12.88119959410982,91
12,3,0,856,-4.677656576331748,14.122676354802032,107
12,3,1,760,-8.02801028846698,13.096576315327844,95
12,4,0,760,6.644639419784149,16.658178567121467,95
12,4,1,760,23.51033452850743,16.614198806558615,95
12,5,0,792,5.682034600705422,17.747194256482352,99
12,5,1,856,4.438074775042478,15.651915422137298,107
12,6,0,760,-14.245328665556647,16.266202579478602,95
12,6,1,760,2.541307642500872,15.937046613058953,95
12,7,0,760,-14.473535217120299,14.374178295547758,95
12,7,1,760,-12.308325322802734,15.147142412306417,95
12,8,0,856,5.40166526584391,13.048653072686246,107
12,8,1,728,3.27857544449348,13.680404667865712,91
12,9,0,728,-6.820445031945362,12.630923483783697,91
12,9,1,808,-5.831594865566431,12.892737552615626,101
12,10,0,824,10.615175528590465,11.392634857290385,103
12,10,1,888,-14.621421496957977,11.005969662842377,111
12,11,0,728,7.032720230074144,10.872771832086325,91
12,11,1,760,-9.701740672468908,9.65783710686791,95
13,0,0,728,-2.661197159996251,11.17791113989671,91
13,0,1,808,-4.194596431207602,11.761468678205448,101
13,1,0,760,9.422472863261905,11.927905712410055,95
13,1,1,760,-11.774298359304542,11.042989602153787,95
13,2,0,760,20.451991787948753,13.799824601790068,95
13,2,1,760,6.888872643980652,13.313524282302216,95
13,3,0,856,8.40800567229599,13.353780852102927,107
13,3,1,792,11.949660644421098,13.637358118897174,99
13,4,0,760,14.602971391272744,15.409239829187909,95
13,4,1,808,-0.8787213528146555,13.970560811765845,101
13,5,0,824,5.148687518223441,13.59470386953838,103
13,5,1,824,-4.9668153448493255,13.641958195807554,103
13,6,0,760,12.263537093324327,13.04155396696653,95
13,6,1,760,-4.074098568262567,11.576327855386362,95
13,7,0,840,-6.71214245741557,12.274945831844263,105
13,7,1,840,-5.043605656474198,12.08362581687305,105
13,8,0,808,-4.239819086386251,10.899005932447645,101
13,8,1,856,-7.874204733906226,9.959471591915207,107
13,9,0,760,14.07512272819123,10.28397225768935,95
13,9,1,824,1.2894126876582392,9.6527073896686,103
13,10,0,712,1.0966778539241457,10.533345106307522,89
13,10,1,760,-8.4819954350492,10.005930331458764,95
13,11,0,760,-19.39000218611091,9.971807187874212,95
13,11,1,872,-10.15016505257635,9.257443322045184,109
14,0,0,760,-8.224547189197123,9.643194439155089,95
14,0,1,872,-4.575848666674495,9.987023981095954,109
14,1,0,760,20.58906274410835,11.229219941322778,95
14,1,1,808,3.795090881778579,10.549259457630372,101
14,2,0,760,-0.4519325944301199,10.96551895720216,95
14,2,1,728,4.284713990688353,10.312197647259445,91
14,3,0,792,-5.993031821979191,11.524734009413052,99
14,3,1,760,-5.695748208906104,10.51894496768214,95
14,4,0,840,-4.996589628161773,15.303684233854913,105
14,4,1,808,4.145713239675236,13.195432597853909,101
14,5,0,728,-0.7363032167407239,13.691905592340945,91
14,5,1,824,-4.692460769569642,13.339819892350985,103
14,6,0,760,-4.773803704884355,14.653378396520962,95
14,6,1,840,-2.965984805035722,15.172180946456422,105
14,7,0,808,3.163311851219528,12.496180290591388,101
14,7,1,856,-5.96018817764804,11.609647425772426,107
14,8,0,808,-5.227798738341734,12.709990002563407,101
14,8,1,824,-1.133592118131437,11.110320346976506,103
14,9,0,744,-3.551424257555223,11.2968966444231,93
14,9,1,728,-2.3214905606543343,10.208193810839424,91
14,10,0,824,5.414552504876569,10.393847523096406,103
14,10,1,760,-4.665262128141059,8.263142389391337,95
14,11,0,856,-2.947609741869622,9.82135797036454,107
14,11,1,728,4.978806563956574,9.000575239881632,91
15,0,0,744,2.229699382582132,8.739399460180229,93
15,0,1,760,27.79806017674206,31.459074277461507,95
15,1,0,824,0.8420404846688813,10.396643951225021,103
15,1,1,744,-2.5011621445600283,9.178768084449748,93
15,2,0,760,-8.449912865447189,9.875615638836708,95
15,2,1,840,1.415754230110711,12.453067229423485,105
15,3,0,728,-3.547388245006417,11.865078018890753,91
15,3,1,856,0.04082791003669997,11.714268490589948,107
15,4,0,856,-5.0339347680338316,13.440708922187351,107
15,4,1,728,7.985104218874377,13.21814873109813,91
15,5,0,760,9.492800399154914,13.287105127037345,95
15,5,1,808,-1.3589531766319596,14.800988071232629,101
15,6,0,744,1.9659251621533125,12.123989427634914,93
15,6,1,824,15.118826364991572,13.852168071820648,103
15,7,0,744,-1.0655585406884778,10.351668943078927,93
15,7,1,856,-3.025113925957543,11.52247667679256,107
15,8,0,760,-5.503840704896375,10.613353543078398,95
15,8,1,792,-0.9195095120230536,13.444646025583554,99
15,9,0,728,-8.232554847006496,9.210099683306279,91
15,9,1,760,-2.5015455038814562,9.431002644300134,95
15,10,0,760,-10.438908021446656,9.244415609412593,95
15,10,1,728,8.951452563622755,10.268384295102138,91
15,11,0,840,0.4247762896075032,11.118139162985676,105
15,11,1,728,-0.37306685285390123,9.929075396786562,91
16,0,0,760,-2.7087064647573236,8.113144251175607,95
16,0,1,712,7.356769632254637,9.977651619346647,89
16,1,0,760,-2.824957395335534,8.409035199541355,95
16,1,1,808,-3.4967553169301544,10.401802274584526,101
16,2,0,824,0.6015021589734233,10.90385560030489,103
16,2,1,760,19.42379344950278,11.457469173171852,95
16,3,0,784,-2.979027824842803,12.295765013273279,98
16,3,1,744,-5.189964787627339,12.254265957710139,93
16,4,0,760,18.65295884094273,14.805794822554391,95
16,4,1,792,-6.22567670321705,16.011548595346763,99
16,5,0,792,-5.653407216340241,14.637735916161144,99
16,5,1,824,-3.751361243193784,13.147136160531751,103
16,6,0,760,2.047614360935556,13.280765229850077,95
16,6,1,760,13.248716325525779,13.615292623536073,95
16,7,0,792,-0.4541933561745866,13.935361043564713,99
16,7,1,760,13.099933977163866,12.74694150649575,95
16,8,0,840,2.9634307302955816,10.028558666023873,105
16,8,1,760,6.905973384352712,8.81797824274481,95
16,9,0,728,6.183388167662395,13.068986550166219,91
16,9,1,760,-0.3952769087379563,8.524913833638873,95
16,10,0,792,-9.459953680513404,10.992945243730478,99
16,10,1,792,-2.7142006882896474,11.085579026012159,99
16,11,0,824,-1.1249934370570014,8.395456232035883,103
16,11,1,760,2.5360851808634775,8.366381583469172,95
17,0,0,712,2.4873719616529546,8.653357606348857,89
17,0,1,808,0.3797817730064226,9.350319300572055,101
17,1,0,728,5.635733766195014,9.461793191825823,91
17,1,1,792,-10.652696218848467,10.309752859372649,99
17,2,0,760,2.698030501724222,10.027865832927084,95
17,2,1,760,-8.538983668265436,10.209721548440562,95
17,3,0,728,-3.6229461919945596,12.268375118970694,91
17,3,1,760,-4.4383681168160445,10.517389083937255,95
17,4,0,808,2.6563178271836687,12.086454086552612,101
17,4,1,808,-2.110357619389745,12.085823246767806,101
17,5,0,760,5.939257922460532,15.001093717378158,95
17,5,1,824,1.3651737695332036,14.169205055421473,103
17,6,0,760,17.61577652117408,14.898798528369905,95
17,6,1,824,-4.5094193637525475,14.559839709976602,103
17,7,0,728,7.487329057696147,12.329129663903341,91
17,7,1,808,-5.410896120821356,13.141840566940628,101
17,8,0,760,-7.439731716631659,9.571916346879737,95
17,8,1,792,6.340006922232301,11.379654714601186,99
17,9,0,824,2.534366032866478,8.886286265851288,103
17,9,1,840,3.060657302443968,10.019893875361104,105
17,10,0,760,-5.602161915674766,9.518117167148633,95
17,10,1,856,3.9892251207277574,10.814823853728818,107
17,11,0,824,-7.052282336246954,10.263302603074923,103
17,11,1,728,-0.5143913971490552,10.703334118688222,91
18,0,0,808,-1.733900066560015,10.230228129346004,101
18,0,1,792,6.286069695323861,11.673102184524325,99
18,1,0,808,5.628638956028909,10.36803316527903,101
18,1,1,792,-0.7992140985949036,11.875697970553674,99
18,2,0,760,5.116471302763437,10.045756667666987,95
18,2,1,840,0.928597456546296,10.59349012668961,105
18,3,0,712,1.3123875892236059,12.145252331828528,89
18,3,1,792,-4.232788322996931,12.98178881091411,99
18,4,0,760,-4.796803717661727,13.507272091357217,95
18,4,1,728,-8.518076639854991,28.929892522992258,91
18,5,0,808,5.454731514903434,15.005218433720323,101
18,5,1,760,0.7179856970814315,14.532599930393955,95
18,6,0,760,-10.108518921193841,13.648817759756716,95
18,6,1,856,-3.355847395862533,13.57227573359377,107
18,7,0,760,13.168175963026016,12.20512178691817,95
18,7,1,792,4.009863120085429,13.109685890461117,99
18,8,0,744,2.811089646845759,11.238106078970329,93
18,8,1,728,4.776926513559854,10.660334827868253,91
18,9,0,760,19.560315905109707,11.005517128665232,95
18,9,1,728,0.05702460199167463,9.042829477783172,91
18,10,0,808,4.887918391867458,8.675502491688265,101
18,10,1,824,3.7676704615728935,8.869340002046986,103
18,11,0,840,3.9144876613825788,8.987245129432024,105
18,11,1,808,7.227955294872917,8.26606117420576,101
19,0,0,760,-0.7927850333679024,7.770226096017215,95
19,0,1,760,-8.278376367332829,7.7159618796027045,95
19,1,0,728,-2.284353295376636,8.339775150187824,91
19,1,1,744,-1.5311393521774896,9.079600481728875,93
19,2,0,744,3.331183928506557,5.189509667139285,93
19,2,1,760,5.11177837224679,10.533574552363673,95
19,3,0,760,19.116032339500848,12.936349375323319,95
19,3,1,744,-3.5511455060914874,12.245761854579598,93
19,4,0,760,16.457060598149276,13.867373238037183,95
19,4,1,808,0.6385158651893962,13.84119582491719,101
19,5,0,808,4.593652429364628,10.696500465306848,101
19,5,1,792,-6.558569022144621,13.542916280916396,99
19,6,0,792,-6.048643501780145,14.950604292246513,99
19,6,1,792,-9.61470908814967,14.991542780029084,99
19,7,0,760,-2.55020042707826,11.23911575934804,95
19,7,1,744,1.4494058583676248,11.614080474195442,93
19,8,0,792,5.361630245981389,9.901412647127827,99
19,8,1,808,0.20216873653491524,10.536790647523354,101
19,9,0,760,1.881133342760181,8.508675503892585,95
19,9,1,824,-7.199062100494283,9.375245802661961,103
19,10,0,728,-4.817719875801821,9.13848013543521,91
19,10,1,824,-1.7878598284401148,9.243012319514694,103
19,11,0,792,-3.005107323599558,11.286028411148356,99
19,11,1,760,5.906942246835443,9.002523133307962,95
